Devices
1000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-32.1832,1.00006,-355.292,50431.5,13317.1,-3166.72,187.482,57.0562,0,23.6096,1.07758,-316.943,48796.7,-7958.37,1067.51,-175.11,46.0394,0
1,1,-32.4884,-0.830991,-362.616,50980.8,13317.1,-3166.72,186.725,58.4084,0,23.9148,1.07758,-318.163,48613.6,-7958.37,1067.51,-175.013,47.2056,0
1,2,-31.5729,0.0845362,-357.733,50431.5,12950.9,-3166.72,186.203,58.025,0,22.0837,0.467228,-316.332,48430.5,-7958.37,884.401,-175.158,46.9,0
1,3,-31.5729,0.389712,-357.123,50614.6,12950.9,-3349.82,186.265,57.2713,0,24.5251,-1.97418,-318.163,50810.9,-8446.65,1250.61,-176.548,40.2995,0
1,4,-32.1832,0.0845362,-358.954,50980.8,13805.4,-3075.17,188.46,56.974,0,23.3044,0.467228,-316.943,49712.2,-8324.58,975.953,-176.265,43.1508,0
1,5,-31.5729,-0.830991,-359.564,50797.7,13195.1,-3075.17,186.697,57.7244,0,22.6941,-0.143124,-316.943,49529.1,-8324.58,1067.51,-176.265,43.7285,0
1,6,-31.8781,0.0845362,-362.616,50614.6,13195.1,-3075.17,186.389,59.4183,0,22.9993,-1.05865,-317.553,48796.7,-8080.44,884.401,-175.446,46.3353,0
1,7,-32.1832,0.389712,-354.681,50980.8,13073,-3349.82,186.858,55.2632,0,23.3044,0.772404,-318.163,50994,-8324.58,1067.51,-176.164,39.724,0
1,8,-31.5729,-0.830991,-358.344,50980.8,13195.1,-3349.82,186.822,56.7321,0,22.9993,-0.143124,-320.605,49712.2,-8324.58,1159.06,-175.965,44.9424,0
1,9,-32.4884,0.0845362,-355.292,50431.5,12950.9,-3166.72,186.452,57.0562,0,23.3044,-0.4483,-318.163,50078.4,-8324.58,1433.72,-176.164,42.6016,0
2,0,-31.2677,1.91559,-358.954,50980.8,12828.9,-3624.48,185.74,56.974,0,24.22,-0.143124,-318.163,48247.4,-8080.44,975.953,-175.397,48.3566,0
2,1,-32.1832,-2.35687,-359.564,50980.8,13195.1,-3349.82,186.697,57.2151,0,23.3044,-0.4483,-319.995,48430.5,-8080.44,1159.06,-175.252,48.6522,0
2,2,-31.5729,-1.74652,-358.344,50614.6,13195.1,-3349.82,186.822,57.7541,0,23.3044,-0.753475,-319.384,47331.8,-8324.58,1067.51,-176.064,51.8028,0
2,3,-31.8781,0.389712,-360.175,51347,13561.3,-3441.38,187.652,56.4386,0,24.22,-1.05865,-318.774,50994,-8446.65,1067.51,-176.497,40.0309,0
2,4,-32.7936,1.30524,-359.564,51347,13195.1,-3441.38,186.697,56.1966,0,23.9148,-0.753475,-317.553,49895.3,-7958.37,1250.61,-175.062,42.8756,0
2,5,-31.2677,-2.05169,-358.344,50980.8,13073,-3258.27,186.482,56.7321,0,25.1355,-0.753475,-317.553,48979.8,-8324.58,1250.61,-176.215,45.7587,0
2,6,-32.4884,-0.22064,-361.395,50980.8,13683.4,-3532.93,187.863,57.9335,0,23.6096,1.38276,-321.215,49895.3,-8324.58,1250.61,-175.916,44.667,0
2,7,-31.2677,0.694888,-357.733,50980.8,12706.8,-3258.27,185.52,56.4894,0,24.8303,0.467228,-319.384,49346,-8446.65,1250.61,-176.447,45.4964,0
2,8,-31.8781,0.389712,-356.512,50980.8,13195.1,-3624.48,187.012,56.0014,0,23.3044,-0.143124,-322.436,48796.7,-8324.58,1159.06,-175.818,48.6624,0
2,9,-32.4884,-1.74652,-359.564,51713.2,13195.1,-3166.72,186.697,55.1782,0,23.9148,0.772404,-318.163,50810.9,-8324.58,1067.51,-176.164,40.2995,0
3,0,-31.8781,-1.74652,-360.175,51347,13073,-3532.93,186.296,56.4386,0,24.5251,1.07758,-321.215,49346,-8324.58,1067.51,-175.916,46.3771,0
3,1,-31.2677,-2.35687,-359.564,51347,13439.2,-3166.72,187.376,56.1966,0,24.22,-0.4483,-320.605,49895.3,-8446.65,1159.06,-176.346,44.3713,0
3,2,-31.8781,-0.22064,-356.512,51530.1,12950.9,-3532.93,186.327,54.4606,0,22.9993,0.467228,-321.826,49162.9,-8324.58,1159.06,-175.867,47.2374,0
3,3,-30.3522,-2.35687,-354.681,51713.2,13439.2,-3166.72,187.891,53.1982,0,25.4407,1.68793,-319.995,49712.2,-8202.51,1067.51,-175.633,44.6467,0
3,4,-31.5729,-0.22064,-360.175,51713.2,13561.3,-3258.27,187.652,55.4219,0,23.9148,0.467228,-320.605,50994,-8568.72,1250.61,-176.727,40.9445,0
3,5,-30.6573,-1.44134,-358.344,51713.2,13195.1,-3166.72,186.822,54.6882,0,24.22,-0.143124,-321.826,49346,-8324.58,1067.51,-175.867,46.6685,0
3,6,-32.7936,0.389712,-357.123,51530.1,13927.5,-3349.82,188.999,54.7077,0,23.3044,-0.143124,-324.267,50078.4,-8324.58,1250.61,-175.672,45.5642,0
3,7,-31.5729,-1.74652,-356.512,51713.2,13317.1,-3258.27,187.354,53.947,0,24.22,0.772404,-324.267,49346,-8324.58,1250.61,-175.672,47.8229,0
3,8,-30.6573,-0.525815,-362.616,51347,13073,-3349.82,186.052,57.3985,0,23.9148,-0.143124,-321.826,50078.4,-8690.79,1067.51,-177.005,44.3926,0
3,9,-32.4884,-1.13617,-354.681,52079.4,13073,-3441.38,186.858,52.1657,0,22.9993,0.467228,-321.215,48979.8,-8690.79,1250.61,-177.056,47.5172,0
4,0,-32.1832,0.0845362,-355.292,51713.2,13439.2,-3624.48,187.826,53.4487,0,23.3044,-0.143124,-319.995,49712.2,-8446.65,1067.51,-176.396,44.6467,0
4,1,-32.7936,-1.74652,-359.564,51530.1,13073,-3532.93,186.358,55.6874,0,23.3044,-0.753475,-321.826,50078.4,-8568.72,1067.51,-176.625,44.3926,0
4,2,-30.6573,1.30524,-355.902,51713.2,13317.1,-3166.72,187.418,53.6983,0,22.9993,-0.4483,-322.436,50078.4,-8446.65,1342.16,-176.196,44.6872,0
4,3,-30.9625,-2.05169,-359.564,51530.1,13439.2,-3349.82,187.376,55.6874,0,24.22,0.162052,-321.215,50078.4,-8446.65,1159.06,-176.296,44.097,0
4,4,-32.1832,-1.74652,-355.902,51347,13439.2,-3349.82,187.761,54.7272,0,23.6096,-1.05865,-321.215,50078.4,-8446.65,1250.61,-176.296,44.097,0
4,5,-34.0143,-0.830991,-356.512,51896.3,13317.1,-3532.93,187.354,53.4334,0,23.9148,-0.753475,-324.877,49895.3,-8324.58,1159.06,-175.624,46.418,0
4,6,-31.5729,-2.96722,-361.395,52445.6,13195.1,-3258.27,186.511,53.8802,0,22.6941,-0.143124,-319.995,51177.1,-8568.72,1250.61,-176.778,40.0689,0
4,7,-34.0143,-4.18792,-354.681,52079.4,13561.3,-3349.82,188.235,52.1657,0,22.9993,-0.143124,-324.877,49712.2,-8690.79,1250.61,-176.751,46.9816,0
4,8,-30.6573,-2.66205,-354.681,52445.6,12706.8,-3075.17,185.826,51.1332,0,24.22,-0.4483,-318.774,51543.3,-8446.65,1067.51,-176.497,38.3077,0
4,9,-32.7936,-1.13617,-358.954,52079.4,13317.1,-3441.38,187.1,53.9134,0,23.3044,0.162052,-323.046,49529.1,-8446.65,1342.16,-176.147,46.6811,0
5,0,-31.2677,-1.74652,-355.292,52262.5,13195.1,-3349.82,187.139,51.9026,0,24.22,-0.4483,-323.046,49346,-8446.65,1250.61,-176.147,47.2478,0
5,1,-33.7091,-0.22064,-358.344,52262.5,13317.1,-3532.93,187.163,53.1553,0,22.9993,0.467228,-321.826,50444.6,-8324.58,1159.06,-175.867,43.2547,0
5,2,-32.1832,-2.66205,-352.85,52628.7,13317.1,-3258.27,187.742,49.8469,0,23.9148,-0.4483,-322.436,49712.2,-8690.79,1067.51,-176.954,45.823,0
5,3,-31.5729,-4.4931,-359.564,52262.5,13439.2,-3716.03,187.376,53.6504,0,23.9148,-0.4483,-323.657,49895.3,-8568.72,1067.51,-176.475,45.8387,0
5,4,-29.1315,-0.830991,-358.344,52262.5,14049.6,-3349.82,189.207,53.1553,0,24.5251,-0.143124,-321.215,52275.7,-8812.87,1433.72,-177.436,37.2565,0
5,5,-30.3522,-2.66205,-353.461,52628.7,13561.3,-3441.38,188.367,50.1045,0,23.6096,0.467228,-322.436,51909.5,-8568.72,1067.51,-176.575,39.0084,0
5,6,-30.9625,-2.66205,-354.071,52811.8,13439.2,-3532.93,187.956,49.844,0,24.5251,0.467228,-323.046,50078.4,-8690.79,1067.51,-176.903,44.9806,0
5,7,-31.2677,-3.88275,-357.123,52994.9,13927.5,-3441.38,188.999,50.6059,0,24.22,1.38276,-323.046,50994,-8202.51,1159.06,-175.391,42.1466,0
5,8,-31.8781,-2.66205,-355.902,52811.8,13927.5,-3624.48,189.133,50.6114,0,23.3044,0.162052,-323.046,49346,-8568.72,1067.51,-176.525,47.2478,0
5,9,-32.4884,-4.18792,-356.512,52445.6,13317.1,-3532.93,187.354,51.8926,0,23.9148,-0.4483,-321.826,50627.8,-8568.72,1159.06,-176.625,42.6857,0
6,0,-30.9625,-2.96722,-360.175,52811.8,13805.4,-3624.48,188.33,52.3716,0,24.22,0.772404,-325.488,50810.9,-8568.72,1250.61,-176.326,43.8931,0
