Devices
1000
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-14.7882,-1.44134,-223.456,37064.8,11241.9,-511.689,200.309,33.1294,0,29.7131,-5.63629,-298.632,41472.5,-2099,1616.82,-157.029,61.1252,0
1,1,-14.7882,-1.13617,-227.728,36881.6,11486.1,-603.242,200.438,37.0454,0,31.239,-4.41558,-299.243,42571.1,-2343.14,1342.16,-157.83,57.7371,0
1,2,-17.5348,-2.66205,-221.625,37064.8,10875.7,-328.583,199.073,31.7589,0,32.4597,-5.94146,-298.632,42021.8,-2221.07,1433.72,-157.437,59.2858,0
1,3,-14.1779,-1.74652,-228.339,37064.8,11608.2,-603.242,200.837,36.6764,0,31.8494,-6.24664,-295.58,42571.1,-2465.21,1433.72,-158.34,55.9745,0
1,4,-16.6193,-3.2724,-227.728,37431,10997.8,-694.794,198.294,34.6332,0,29.7131,-6.24664,-292.529,41655.6,-2221.07,1342.16,-157.593,57.6017,0
1,5,-16.9244,-2.35687,-224.066,37797.2,11730.2,-694.794,202.352,30.3124,0,30.9338,-5.02594,-295.58,41655.6,-2099,1433.72,-157.101,59.0719,0
1,6,-12.9572,-3.2724,-225.287,37797.2,10509.5,-969.452,196.65,31.2264,0,29.408,-6.85699,-289.477,41655.6,-1976.93,1616.82,-156.829,56.1005,0
1,7,-16.6193,-3.88275,-227.118,37614.1,11852.3,-786.347,202.186,33.3853,0,30.6287,-6.55182,-293.139,41655.6,-1976.93,1342.16,-156.744,57.8982,0
1,8,-16.9244,-2.96722,-229.559,37614.1,11364,-1518.77,199.504,35.1466,0,30.6287,-7.77252,-288.867,42021.8,-2343.14,1342.16,-158.111,54.5287,0
1,9,-17.84,-2.96722,-228.339,38346.5,11852.3,-694.794,201.907,31.063,0,31.5442,-6.55182,-290.698,42204.9,-2221.07,1708.38,-157.64,54.8151,0
2,0,-14.7882,-4.79828,-235.052,38163.4,11119.9,-1061.01,197.308,36.6389,0,31.8494,-7.46734,-290.087,40740.1,-2465.21,1525.27,-158.498,59.5593,0
2,1,-16.3141,-5.40863,-227.728,38346.5,11119.9,-694.794,198.83,30.6129,0,32.1545,-7.16217,-288.867,42021.8,-2099,1616.82,-157.266,54.5287,0
2,2,-16.6193,-7.23968,-235.052,38346.5,11486.1,-1061.01,198.866,35.8599,0,31.239,-8.38287,-288.867,41289.4,-2099,1616.82,-157.266,57.0642,0
2,3,-16.9244,-6.62933,-235.052,38895.8,11486.1,-1793.43,198.866,33.5229,0,30.9338,-8.07769,-292.529,40556.9,-2221.07,1525.27,-157.593,61.3574,0
2,4,-16.9244,-7.85003,-233.221,38163.4,11730.2,-1152.56,200.297,35.3641,0,30.3235,-8.07769,-285.204,39824.5,-2099,1708.38,-157.36,60.365,0
2,5,-17.5348,-7.85003,-238.104,39445.1,11852.3,-1427.22,199.778,33.3367,0,30.6287,-8.68805,-285.815,41106.3,-2221.07,1525.27,-157.771,56.1787,0
2,6,-18.1451,-8.15521,-236.884,39811.3,11364,-1518.77,197.973,30.9371,0,30.3235,-9.60357,-282.763,39641.4,-1976.93,1525.27,-156.991,59.8069,0
2,7,-18.7555,-9.07074,-239.935,39811.3,11974.4,-1427.22,199.907,33.0747,0,31.239,-10.2139,-281.542,40373.8,-1976.93,1616.82,-157.022,56.5976,0
2,8,-17.84,-9.07074,-242.377,40726.9,11608.2,-1518.77,197.893,30.9687,0,30.6287,-8.99322,-280.932,41106.3,-2099,1525.27,-157.472,53.679,0
